tran_id,stroe_id,member_id,date
2021-01-01T09-51-42-643171_1,1,1034,2021-01-01
2021-01-01T09-51-42-644173_1,1,1034,2021-01-01
2021-01-01T09-51-42-644173_2,3,1067,2021-01-01
2021-01-01T09-51-42-644173_3,2,1019,2021-01-01
2021-01-01T09-51-42-645172_3,2,1019,2021-01-01
2021-01-01T09-51-42-645172_4,1,1056,2021-01-01
2021-01-01T09-51-42-646175_4,1,1056,2021-01-01
2021-01-01T09-51-42-646175_6,1,1073,2021-01-01
2021-01-01T09-51-42-647177_6,1,1073,2021-01-01
2021-01-01T09-51-42-647177_7,3,1023,2021-01-01
2021-01-01T09-51-42-647177_8,1,1040,2021-01-01
2021-01-01T09-51-42-648275_8,1,1040,2021-01-01
2021-01-01T09-51-42-648275_9,2,1052,2021-01-01
2021-01-01T09-51-42-649281_9,2,1052,2021-01-01
2021-01-01T09-51-42-649281_10,3,1003,2021-01-01
2021-01-01T09-51-42-650280_10,3,1003,2021-01-01
2021-01-01T09-51-42-650280_11,1,1024,2021-01-01
2021-01-01T09-51-42-650280_12,2,1011,2021-01-01
2021-01-02T09-51-42-650280_1,1,1084,2021-01-02
2021-01-02T09-51-42-651275_1,1,1084,2021-01-02
2021-01-02T09-51-42-651275_2,2,1026,2021-01-02
2021-01-02T09-51-42-651275_3,2,1009,2021-01-02
2021-01-02T09-51-42-652278_3,2,1009,2021-01-02
2021-01-03T09-51-42-652278_1,2,1055,2021-01-03
2021-01-03T09-51-42-652278_2,3,1035,2021-01-03
2021-01-03T09-51-42-652278_3,2,1021,2021-01-03
2021-01-03T09-51-42-652278_4,3,1040,2021-01-03
2021-01-03T09-51-42-652278_5,3,1096,2021-01-03
2021-01-03T09-51-42-653279_5,3,1096,2021-01-03
2021-01-03T09-51-42-653279_6,2,1060,2021-01-03
2021-01-03T09-51-42-653279_7,2,1054,2021-01-03
2021-01-04T09-51-42-653279_1,1,1071,2021-01-04
2021-01-04T09-51-42-653279_2,3,1083,2021-01-04
2021-01-04T09-51-42-653279_3,3,1036,2021-01-04
2021-01-04T09-51-42-654278_3,3,1036,2021-01-04
2021-01-04T09-51-42-654278_4,3,1037,2021-01-04
2021-01-04T09-51-42-654278_5,3,1022,2021-01-04
2021-01-04T09-51-42-655277_5,3,1022,2021-01-04
2021-01-04T09-51-42-655277_6,1,1050,2021-01-04
2021-01-04T09-51-42-656284_7,3,1081,2021-01-04
2021-01-04T09-51-42-656284_8,3,1034,2021-01-04
2021-01-04T09-51-42-657276_9,1,1056,2021-01-04
2021-01-04T09-51-42-657276_10,3,1060,2021-01-04
2021-01-04T09-51-42-657276_11,1,1070,2021-01-04
2021-01-04T09-51-42-658278_11,1,1070,2021-01-04
2021-01-04T09-51-42-658278_12,3,1043,2021-01-04
2021-01-04T09-51-42-658278_13,3,1097,2021-01-04
2021-01-04T09-51-42-658278_14,2,1004,2021-01-04
2021-01-04T09-51-42-659277_14,2,1004,2021-01-04
2021-01-04T09-51-42-659277_15,3,1090,2021-01-04
2021-01-04T09-51-42-659277_16,3,1046,2021-01-04
2021-01-04T09-51-42-659277_17,2,1085,2021-01-04
2021-01-04T09-51-42-659277_18,1,1062,2021-01-04
2021-01-04T09-51-42-660278_18,1,1062,2021-01-04
2021-01-04T09-51-42-660278_19,1,1064,2021-01-04
2021-01-04T09-51-42-660278_20,1,1059,2021-01-04
2021-01-04T09-51-42-660278_21,3,1026,2021-01-04
2021-01-04T09-51-42-661277_21,3,1026,2021-01-04
2021-01-04T09-51-42-661277_22,1,1079,2021-01-04
2021-01-04T09-51-42-661277_23,2,1075,2021-01-04
2021-01-04T09-51-42-661277_26,3,1078,2021-01-04
2021-01-04T09-51-42-661277_28,2,1007,2021-01-04
2021-01-04T09-51-42-662279_28,2,1007,2021-01-04
2021-01-04T09-51-42-662279_29,2,1074,2021-01-04
2021-01-04T09-51-42-662279_30,3,1031,2021-01-04
2021-01-04T09-51-42-662279_31,1,1100,2021-01-04
2021-01-04T09-51-42-662279_32,3,1028,2021-01-04
2021-01-04T09-51-42-663276_33,2,1039,2021-01-04
2021-01-04T09-51-42-663276_35,2,1014,2021-01-04
2021-01-04T09-51-42-663276_36,2,1067,2021-01-04
2021-01-04T09-51-42-664280_37,1,1017,2021-01-04
2021-01-04T09-51-42-664280_38,2,1087,2021-01-04
2021-01-04T09-51-42-664280_39,1,1092,2021-01-04
2021-01-04T09-51-42-665277_39,1,1092,2021-01-04
2021-01-04T09-51-42-665277_40,3,1020,2021-01-04
2021-01-04T09-51-42-665277_41,3,1025,2021-01-04
2021-01-05T09-51-42-665277_1,3,1053,2021-01-05
2021-01-05T09-51-42-666280_2,3,1028,2021-01-05
2021-01-05T09-51-42-666280_3,2,1063,2021-01-05
2021-01-05T09-51-42-666280_4,2,1034,2021-01-05
2021-01-05T09-51-42-666280_5,2,1026,2021-01-05
2021-01-05T09-51-42-666280_6,2,1039,2021-01-05
2021-01-05T09-51-42-666280_7,2,1009,2021-01-05
2021-01-05T09-51-42-666280_8,1,1004,2021-01-05
2021-01-05T09-51-42-666280_9,3,1080,2021-01-05
2021-01-05T09-51-42-666280_11,1,1081,2021-01-05
2021-01-05T09-51-42-666280_12,3,1013,2021-01-05
2021-01-05T09-51-42-667280_12,3,1013,2021-01-05
2021-01-05T09-51-42-667280_13,1,1019,2021-01-05
2021-01-05T09-51-42-667280_14,3,1087,2021-01-05
2021-01-05T09-51-42-667280_15,2,1023,2021-01-05
2021-01-05T09-51-42-668279_15,2,1023,2021-01-05
2021-01-05T09-51-42-668279_16,1,1003,2021-01-05
2021-01-05T09-51-42-668279_17,2,1057,2021-01-05
2021-01-05T09-51-42-668279_18,1,1006,2021-01-05
2021-01-05T09-51-42-669280_20,3,1096,2021-01-05
2021-01-05T09-51-42-669280_21,2,1016,2021-01-05
2021-01-05T09-51-42-670281_21,2,1016,2021-01-05
2021-01-05T09-51-42-671278_21,2,1016,2021-01-05
2021-01-05T09-51-42-703824_21,2,1016,2021-01-05
2021-01-05T09-51-42-705879_21,2,1016,2021-01-05
2021-01-05T09-51-42-713972_21,2,1016,2021-01-05
2021-01-05T09-51-42-713972_22,1,1007,2021-01-05
2021-01-05T09-51-42-713972_23,1,1092,2021-01-05
2021-01-05T09-51-42-713972_24,3,1086,2021-01-05
2021-01-05T09-51-42-713972_25,3,1070,2021-01-05
2021-01-05T09-51-42-714973_25,3,1070,2021-01-05
2021-01-05T09-51-42-714973_26,1,1098,2021-01-05
2021-01-05T09-51-42-714973_27,3,1097,2021-01-05
2021-01-05T09-51-42-714973_28,2,1079,2021-01-05
2021-01-05T09-51-42-715973_28,2,1079,2021-01-05
2021-01-05T09-51-42-715973_29,1,1008,2021-01-05
2021-01-05T09-51-42-715973_30,2,1090,2021-01-05
2021-01-05T09-51-42-716971_30,2,1090,2021-01-05
2021-01-05T09-51-42-716971_31,1,1060,2021-01-05
2021-01-05T09-51-42-716971_33,3,1095,2021-01-05
2021-01-05T09-51-42-718030_33,3,1095,2021-01-05
2021-01-05T09-51-42-718087_33,3,1095,2021-01-05
2021-01-05T09-51-42-718087_34,1,1041,2021-01-05
2021-01-05T09-51-42-718087_36,2,1058,2021-01-05
2021-01-05T09-51-42-718087_37,2,1047,2021-01-05
2021-01-05T09-51-42-719092_37,2,1047,2021-01-05
2021-01-05T09-51-42-719092_41,1,1037,2021-01-05
2021-01-05T09-51-42-720088_42,1,1056,2021-01-05
2021-01-05T09-51-42-720088_43,2,1018,2021-01-05
2021-01-05T09-51-42-720088_44,1,1044,2021-01-05
2021-01-05T09-51-42-721091_44,1,1044,2021-01-05
2021-01-05T09-51-42-721091_45,1,1082,2021-01-05
2021-01-05T09-51-42-721091_47,3,1074,2021-01-05
2021-01-05T09-51-42-721091_48,2,1051,2021-01-05
2021-01-05T09-51-42-721091_49,1,1011,2021-01-05
2021-01-05T09-51-42-722089_49,1,1011,2021-01-05
2021-01-06T09-51-42-722089_1,1,1024,2021-01-06
2021-01-06T09-51-42-722089_2,1,1069,2021-01-06
2021-01-06T09-51-42-723194_3,3,1039,2021-01-06
2021-01-06T09-51-42-723194_4,1,1031,2021-01-06
2021-01-06T09-51-42-723194_5,1,1053,2021-01-06
2021-01-06T09-51-42-724090_5,1,1053,2021-01-06
2021-01-06T09-51-42-724090_6,2,1022,2021-01-06
2021-01-06T09-51-42-724090_7,2,1014,2021-01-06
2021-01-06T09-51-42-724090_8,2,1060,2021-01-06
2021-01-06T09-51-42-725090_8,2,1060,2021-01-06
2021-01-06T09-51-42-725090_9,1,1100,2021-01-06
2021-01-06T09-51-42-725090_10,1,1077,2021-01-06
2021-01-06T09-51-42-725090_11,3,1089,2021-01-06
2021-01-06T09-51-42-725090_12,1,1090,2021-01-06
2021-01-06T09-51-42-726088_12,1,1090,2021-01-06
2021-01-06T09-51-42-726088_13,1,1017,2021-01-06
2021-01-06T09-51-42-726088_14,2,1094,2021-01-06
2021-01-06T09-51-42-726088_15,3,1003,2021-01-06
2021-01-06T09-51-42-726088_16,1,1042,2021-01-06
2021-01-06T09-51-42-726088_17,1,1066,2021-01-06
2021-01-06T09-51-42-727088_17,1,1066,2021-01-06
2021-01-06T09-51-42-727088_18,1,1023,2021-01-06
2021-01-06T09-51-42-727088_19,1,1041,2021-01-06
2021-01-06T09-51-42-727088_21,1,1002,2021-01-06
2021-01-06T09-51-42-727088_22,2,1083,2021-01-06
2021-01-07T09-51-42-727088_1,2,1021,2021-01-07
